,residual
1992-07-10,0.13131089498633405
1992-07-17,0.0011736169025134413
1992-07-24,-0.003041163441772743
1992-07-31,0.01566147278975205
1992-08-07,-0.0009071152647704972
1992-08-14,-0.0062574919198304935
1992-08-21,0.008307964951426883
1992-08-28,0.003072928433967892
1992-09-04,0.007546824701521904
1992-09-11,0.004250548381019237
1992-09-18,-0.0022249562828567937
1992-09-25,-0.0006964275272049458
1992-10-02,-0.00466618745486147
1992-10-09,-0.007172010444628396
1992-10-16,-0.005044788974102765
1992-10-23,-0.012613179397896135
1992-10-30,0.008770724091935633
1992-11-06,0.0006791059060712867
1992-11-13,-0.01900515762424615
1992-11-20,0.002219202854904956
1992-11-27,-0.0039373486375028355
1992-12-04,-0.0015843381730075157
1992-12-11,0.0018226630307335845
1992-12-18,0.008965283173615224
1992-12-25,0.018611409443223925
1993-01-01,-0.005977894159181152
1993-01-08,0.03404613291717151
1993-01-15,-0.019020372781881678
1993-01-22,-0.01062863468036468
1993-01-29,-0.011756753848137735
1993-02-05,-0.005819421094602706
1993-02-12,0.00839669006857624
1993-02-19,0.001305278849780378
1993-02-26,-0.00037356218002931874
1993-03-05,-0.006045614908035624
1993-03-12,0.01215114629724734
1993-03-19,0.01146148107131767
1993-03-26,0.0005162514784315952
1993-04-02,-0.015322568208685106
1993-04-09,0.013292592366048128
1993-04-16,-0.003516844913999395
1993-04-23,-0.00720570777721391
1993-04-30,-0.0075075863110393715
1993-05-07,-0.005495960800613542
1993-05-14,0.00047732616481710455
1993-05-21,0.012131902808661221
1993-05-28,-0.012162121982346286
1993-06-04,1.0089539876412257e-05
1993-06-11,0.014766803301514309
1993-06-18,0.004553917431735333
1993-06-25,-0.004874450839368827
1993-07-02,0.00507125706077477
1993-07-09,-0.09103417526186874
1993-07-16,-0.01275895249349318
1993-07-23,0.003315213330230604
1993-07-30,-0.016148805649241316
1993-08-06,-0.001875746778975118
1993-08-13,0.0033006938749776116
1993-08-20,-0.006337095188951036
1993-08-27,-0.007993423060630278
1993-09-03,0.0008281725090305003
1993-09-10,-0.006371315817313872
1993-09-17,0.0003531995731178017
1993-09-24,-0.002037923448565293
1993-10-01,0.007245612884346386
1993-10-08,0.004086023963652041
1993-10-15,0.000317106257926858
1993-10-22,-3.739650470130362e-05
1993-10-29,-0.0025137822268491705
1993-11-05,0.010633345420081042
1993-11-12,0.008421111369806833
1993-11-19,-0.006731638759299052
1993-11-26,0.02134744301326147
1993-12-03,-0.02941986153288234
1993-12-10,-0.0027101150288227904
1993-12-17,-0.0007375056002535962
1993-12-24,-0.008366001491119601
1993-12-31,0.00478785400878784
1994-01-07,-0.03991643461315042
1994-01-14,0.02888110306186112
1994-01-21,0.0065651748662941545
1994-01-28,0.02114730201215309
1994-02-04,0.026565534195819696
